abigail,abby
adalynn,addie
addison,addie
adelaide,addie
adeline,addie
alan,al
albert,al
allen,al
alexa,alex
alexander,alex
alexandra,alex
alexis,alex
allie,ally
allison,ally
althea,thea
andy,andrew
angie,angela
anna,ann
annabelle,belle
anne,ann
annie,ann
anthony,tony
arianna,ariana
arthur,art
august,gus
augustus,gus
barbara,barb
beatrice,bea
beatrix,bea
beau,bo
becky,rebecca
bee,bea
benedict,ben
benjamin,ben
beth,elizabeth
betsy,elizabeth
bette,elizabeth
betty,elizabeth
bev,beverly
bill,william
billy,william
bob,robert
bobbie,robert
bobby,robert
bradley,brad
callie,cal
calvin,cal
cameron,cam
camilla,camila
cammy,camila
carolyn,carol
cassie,cass
catherine,cat
charles,charlie
charley,charlie
charlotte,charlie
christian,chris
christina,chris
christine,chris
christopher,chris
cory,corey
cynthia,cindy
daniel,dan
dave,david
debbie,debra
deborah,debra
denny,dennis
diane,diana
dick,richard
dominick,dom
donald,don
dorothea,thea
drew,andrew
eddie,ed
edie,edith
edward,ed
eleanor,nell
ella,eleanor
ellen,nell
ellie,eleanor
eugene,gene
eva,eve
evangeline,eve
evelyn,eve
evie,eve
francis,frank
franklin,frank
frederick,fred
gabriel,gabe
gabriella,gabby
gerald,jerry
gregory,greg
hank,henry
helen,nell
helena,lena
isabel,belle
isabella,bella
isabelle,belle
jack,john
jacob,jake
jacqueline,jackie
james,jim
jamie,james
Jeannie,jean
jeffrey,jeff
jennifer,jenn
jenny,jenn
jeremiah,jerry
jess,jessica
jessie,jessica
jimmy,jim
jo,joe
johanna,joe
johnny,john
jonathan,jon
joseph,joe
josephine,joe
joshua,josh
josie,joe
judith,judy
jules,julia
julie,julia
katherine,kate
kathleen,kathy
kathryn,kathy
kenneth,ken
kimberly,kim
lauren,laura
laurie,laura
lawrence,larry
leon,leo
leonard,leo
leonardo,leo
leopold,leo
liam,william
lisa,elizabeth
liz,elizabeth
lori,laura
mack,mac
madeline,maddie
madelyn,maddie
madison,maddie
maggie,margaret
mandy,amanda
marie,maria
matthew,matt
maximilian,max
maxine,max
maxwell,max
mia,maria
missy,melissa
molly,mary
natalie,nat
nathan,nate
nathaniel,nate
nichola,nicki
nicholas,nick
nichole,nicki
nickie,nicki
nicky,nicki
nicolette,nicki
niki,nicki
nikki,nicki
nora,nell
olive,ollie
oliver,ollie
olivia,ollie
olly,ollie
pamela,pam
patricia,pat
patrick,pat
peg,margaret
penelope,penny
philip,phil
randall,randy
raymond,ray
rich,richard
rob,robert
roberta,robert
ronald,ron
rosie,rose
sadie,sarah
samantha,sam
sammi,sam
sammy,sam
samuel,sam
sandy,sandra
sara,sarah
shari,sharon
shelly,michelle
sophie,sophia
stephen,steve
steven,steve
teddy,ted
terrence,terry
tess,teresa
theo,ted
theodora,ted
theodore,ted
theresa,teresa
thomas,tom
tommy,tom
ty,tyler
vicky,victoria
vincent,vince
walter,walt
will,william
winifred,winnie
zachariah,zack
zachary,zack
